<<<<<<< HEAD
Location,Job Role,Experience (Years),Degree,Salary
Kolkata,Data Analyst,0,Bachelor's,0
Kolkata,Data Analyst,1,Master's,200000
Kolkata,Data Analyst,2,PhD,350000
Kolkata,Data Analyst,3,Bachelor's,400000
Kolkata,Data Analyst,4,Master's,600000
Kolkata,Data Analyst,5,PhD,800000
Kolkata,Data Analyst,6,Bachelor's,900000
Kolkata,Data Analyst,7,Master's,1200000
Kolkata,Data Analyst,2,Bachelor's,250000
Kolkata,Data Analyst,3,Master's,400000
Kolkata,Data Scientist,0,PhD,0
Kolkata,Data Scientist,1,Bachelor's,200000
Kolkata,Data Scientist,2,Master's,400000
Kolkata,Data Scientist,3,PhD,700000
Kolkata,Data Scientist,4,Bachelor's,600000
Kolkata,Data Scientist,5,Master's,900000
Kolkata,Data Scientist,6,PhD,1200000
Kolkata,Data Scientist,7,Bachelor's,1000000
Kolkata,Data Scientist,2,PhD,450000
Kolkata,Data Scientist,3,Bachelor's,500000
Kolkata,Java Engineer,0,Bachelor's,0
Kolkata,Java Engineer,1,Master's,150000
Kolkata,Java Engineer,2,PhD,300000
Kolkata,Java Engineer,3,Bachelor's,400000
Kolkata,Java Engineer,4,Master's,500000
Kolkata,Java Engineer,5,PhD,800000
Kolkata,Java Engineer,6,Bachelor's,900000
Kolkata,Java Engineer,7,Master's,1200000
Kolkata,Java Engineer,2,Bachelor's,200000
Kolkata,Java Engineer,3,Master's,400000
Bangalore,Data Analyst,0,Bachelor's,0
Bangalore,Data Analyst,1,Master's,300000
Bangalore,Data Analyst,2,PhD,500000
Bangalore,Data Analyst,3,Bachelor's,600000
Bangalore,Data Analyst,4,Master's,800000
Bangalore,Data Analyst,5,PhD,1000000
Bangalore,Data Analyst,6,Bachelor's,1200000
Bangalore,Data Analyst,7,Master's,1500000
Bangalore,Data Analyst,2,Bachelor's,350000
Bangalore,Data Analyst,3,Master's,500000
Bangalore,Data Scientist,0,PhD,0
Bangalore,Data Scientist,1,Bachelor's,300000
Bangalore,Data Scientist,2,Master's,600000
Bangalore,Data Scientist,3,PhD,1000000
Bangalore,Data Scientist,4,Bachelor's,900000
Bangalore,Data Scientist,5,Master's,1200000
Bangalore,Data Scientist,6,PhD,1500000
Bangalore,Data Scientist,7,Bachelor's,1800000
Bangalore,Data Scientist,2,PhD,700000
Bangalore,Data Scientist,3,Bachelor's,800000
Bangalore,Java Engineer,0,Bachelor's,0
Bangalore,Java Engineer,1,Master's,250000
Bangalore,Java Engineer,2,PhD,500000
Bangalore,Java Engineer,3,Bachelor's,600000
Bangalore,Java Engineer,4,Master's,750000
Bangalore,Java Engineer,5,PhD,1200000
Bangalore,Java Engineer,6,Bachelor's,1500000
Bangalore,Java Engineer,7,Master's,1800000
Bangalore,Java Engineer,2,Bachelor's,300000
Bangalore,Java Engineer,3,Master's,500000
Pune,Data Analyst,0,Bachelor's,0
Pune,Data Analyst,1,Master's,200000
Pune,Data Analyst,2,PhD,400000
Pune,Data Analyst,3,Bachelor's,500000
Pune,Data Analyst,4,Master's,700000
Pune,Data Analyst,5,PhD,900000
Pune,Data Analyst,6,Bachelor's,1000000
Pune,Data Analyst,7,Master's,1200000
Pune,Data Analyst,2,Bachelor's,300000
Pune,Data Analyst,3,Master's,400000
Pune,Data Scientist,0,PhD,0
Pune,Data Scientist,1,Bachelor's,200000
Pune,Data Scientist,2,Master's,500000
Pune,Data Scientist,3,PhD,800000
Pune,Data Scientist,4,Bachelor's,700000
Pune,Data Scientist,5,Master's,1000000
Pune,Data Scientist,6,PhD,1300000
Pune,Data Scientist,7,Bachelor's,1500000
Pune,Data Scientist,2,PhD,500000
Pune,Data Scientist,3,Bachelor's,600000
Pune,Java Engineer,0,Bachelor's,0
Pune,Java Engineer,1,Master's,200000
Pune,Java Engineer,2,PhD,400000
Pune,Java Engineer,3,Bachelor's,500000
Pune,Java Engineer,4,Master's,700000
Pune,Java Engineer,5,PhD,900000
Pune,Java Engineer,6,Bachelor's,1000000
Pune,Java Engineer,7,Master's,1200000
Pune,Java Engineer,2,Bachelor's,300000
=======
Location,Job Role,Experience (Years),Degree,Salary
Kolkata,Data Analyst,0,Bachelor's,0
Kolkata,Data Analyst,1,Master's,200000
Kolkata,Data Analyst,2,PhD,350000
Kolkata,Data Analyst,3,Bachelor's,400000
Kolkata,Data Analyst,4,Master's,600000
Kolkata,Data Analyst,5,PhD,800000
Kolkata,Data Analyst,6,Bachelor's,900000
Kolkata,Data Analyst,7,Master's,1200000
Kolkata,Data Analyst,2,Bachelor's,250000
Kolkata,Data Analyst,3,Master's,400000
Kolkata,Data Scientist,0,PhD,0
Kolkata,Data Scientist,1,Bachelor's,200000
Kolkata,Data Scientist,2,Master's,400000
Kolkata,Data Scientist,3,PhD,700000
Kolkata,Data Scientist,4,Bachelor's,600000
Kolkata,Data Scientist,5,Master's,900000
Kolkata,Data Scientist,6,PhD,1200000
Kolkata,Data Scientist,7,Bachelor's,1000000
Kolkata,Data Scientist,2,PhD,450000
Kolkata,Data Scientist,3,Bachelor's,500000
Kolkata,Java Engineer,0,Bachelor's,0
Kolkata,Java Engineer,1,Master's,150000
Kolkata,Java Engineer,2,PhD,300000
Kolkata,Java Engineer,3,Bachelor's,400000
Kolkata,Java Engineer,4,Master's,500000
Kolkata,Java Engineer,5,PhD,800000
Kolkata,Java Engineer,6,Bachelor's,900000
Kolkata,Java Engineer,7,Master's,1200000
Kolkata,Java Engineer,2,Bachelor's,200000
Kolkata,Java Engineer,3,Master's,400000
Bangalore,Data Analyst,0,Bachelor's,0
Bangalore,Data Analyst,1,Master's,300000
Bangalore,Data Analyst,2,PhD,500000
Bangalore,Data Analyst,3,Bachelor's,600000
Bangalore,Data Analyst,4,Master's,800000
Bangalore,Data Analyst,5,PhD,1000000
Bangalore,Data Analyst,6,Bachelor's,1200000
Bangalore,Data Analyst,7,Master's,1500000
Bangalore,Data Analyst,2,Bachelor's,350000
Bangalore,Data Analyst,3,Master's,500000
Bangalore,Data Scientist,0,PhD,0
Bangalore,Data Scientist,1,Bachelor's,300000
Bangalore,Data Scientist,2,Master's,600000
Bangalore,Data Scientist,3,PhD,1000000
Bangalore,Data Scientist,4,Bachelor's,900000
Bangalore,Data Scientist,5,Master's,1200000
Bangalore,Data Scientist,6,PhD,1500000
Bangalore,Data Scientist,7,Bachelor's,1800000
Bangalore,Data Scientist,2,PhD,700000
Bangalore,Data Scientist,3,Bachelor's,800000
Bangalore,Java Engineer,0,Bachelor's,0
Bangalore,Java Engineer,1,Master's,250000
Bangalore,Java Engineer,2,PhD,500000
Bangalore,Java Engineer,3,Bachelor's,600000
Bangalore,Java Engineer,4,Master's,750000
Bangalore,Java Engineer,5,PhD,1200000
Bangalore,Java Engineer,6,Bachelor's,1500000
Bangalore,Java Engineer,7,Master's,1800000
Bangalore,Java Engineer,2,Bachelor's,300000
Bangalore,Java Engineer,3,Master's,500000
Pune,Data Analyst,0,Bachelor's,0
Pune,Data Analyst,1,Master's,200000
Pune,Data Analyst,2,PhD,400000
Pune,Data Analyst,3,Bachelor's,500000
Pune,Data Analyst,4,Master's,700000
Pune,Data Analyst,5,PhD,900000
Pune,Data Analyst,6,Bachelor's,1000000
Pune,Data Analyst,7,Master's,1200000
Pune,Data Analyst,2,Bachelor's,300000
Pune,Data Analyst,3,Master's,400000
Pune,Data Scientist,0,PhD,0
Pune,Data Scientist,1,Bachelor's,200000
Pune,Data Scientist,2,Master's,500000
Pune,Data Scientist,3,PhD,800000
Pune,Data Scientist,4,Bachelor's,700000
Pune,Data Scientist,5,Master's,1000000
Pune,Data Scientist,6,PhD,1300000
Pune,Data Scientist,7,Bachelor's,1500000
Pune,Data Scientist,2,PhD,500000
Pune,Data Scientist,3,Bachelor's,600000
Pune,Java Engineer,0,Bachelor's,0
Pune,Java Engineer,1,Master's,200000
Pune,Java Engineer,2,PhD,400000
Pune,Java Engineer,3,Bachelor's,500000
Pune,Java Engineer,4,Master's,700000
Pune,Java Engineer,5,PhD,900000
Pune,Java Engineer,6,Bachelor's,1000000
Pune,Java Engineer,7,Master's,1200000
Pune,Java Engineer,2,Bachelor's,300000
>>>>>>> 3b92b72b3dd9318b4e6d8d8a554a318cf9e61b95
Pune,Java Engineer,3,Master's,400000
