documents
"{'Location': 'Kolkata', 'Job Role': 'Data Analyst', 'Experience (Years)': 0, 'Degree': ""Bachelor's"", 'Salary': 0}"
"{'Location': 'Kolkata', 'Job Role': 'Data Analyst', 'Experience (Years)': 1, 'Degree': ""Master's"", 'Salary': 200000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Analyst', 'Experience (Years)': 2, 'Degree': 'PhD', 'Salary': 350000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Analyst', 'Experience (Years)': 3, 'Degree': ""Bachelor's"", 'Salary': 400000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Analyst', 'Experience (Years)': 4, 'Degree': ""Master's"", 'Salary': 600000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Analyst', 'Experience (Years)': 5, 'Degree': 'PhD', 'Salary': 800000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Analyst', 'Experience (Years)': 6, 'Degree': ""Bachelor's"", 'Salary': 900000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Analyst', 'Experience (Years)': 7, 'Degree': ""Master's"", 'Salary': 1200000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Analyst', 'Experience (Years)': 2, 'Degree': ""Bachelor's"", 'Salary': 250000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Analyst', 'Experience (Years)': 3, 'Degree': ""Master's"", 'Salary': 400000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Scientist', 'Experience (Years)': 0, 'Degree': 'PhD', 'Salary': 0}"
"{'Location': 'Kolkata', 'Job Role': 'Data Scientist', 'Experience (Years)': 1, 'Degree': ""Bachelor's"", 'Salary': 200000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Scientist', 'Experience (Years)': 2, 'Degree': ""Master's"", 'Salary': 400000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Scientist', 'Experience (Years)': 3, 'Degree': 'PhD', 'Salary': 700000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Scientist', 'Experience (Years)': 4, 'Degree': ""Bachelor's"", 'Salary': 600000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Scientist', 'Experience (Years)': 5, 'Degree': ""Master's"", 'Salary': 900000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Scientist', 'Experience (Years)': 6, 'Degree': 'PhD', 'Salary': 1200000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Scientist', 'Experience (Years)': 7, 'Degree': ""Bachelor's"", 'Salary': 1000000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Scientist', 'Experience (Years)': 2, 'Degree': 'PhD', 'Salary': 450000}"
"{'Location': 'Kolkata', 'Job Role': 'Data Scientist', 'Experience (Years)': 3, 'Degree': ""Bachelor's"", 'Salary': 500000}"
"{'Location': 'Kolkata', 'Job Role': 'Java Engineer', 'Experience (Years)': 0, 'Degree': ""Bachelor's"", 'Salary': 0}"
"{'Location': 'Kolkata', 'Job Role': 'Java Engineer', 'Experience (Years)': 1, 'Degree': ""Master's"", 'Salary': 150000}"
"{'Location': 'Kolkata', 'Job Role': 'Java Engineer', 'Experience (Years)': 2, 'Degree': 'PhD', 'Salary': 300000}"
"{'Location': 'Kolkata', 'Job Role': 'Java Engineer', 'Experience (Years)': 3, 'Degree': ""Bachelor's"", 'Salary': 400000}"
"{'Location': 'Kolkata', 'Job Role': 'Java Engineer', 'Experience (Years)': 4, 'Degree': ""Master's"", 'Salary': 500000}"
"{'Location': 'Kolkata', 'Job Role': 'Java Engineer', 'Experience (Years)': 5, 'Degree': 'PhD', 'Salary': 800000}"
"{'Location': 'Kolkata', 'Job Role': 'Java Engineer', 'Experience (Years)': 6, 'Degree': ""Bachelor's"", 'Salary': 900000}"
"{'Location': 'Kolkata', 'Job Role': 'Java Engineer', 'Experience (Years)': 7, 'Degree': ""Master's"", 'Salary': 1200000}"
"{'Location': 'Kolkata', 'Job Role': 'Java Engineer', 'Experience (Years)': 2, 'Degree': ""Bachelor's"", 'Salary': 200000}"
"{'Location': 'Kolkata', 'Job Role': 'Java Engineer', 'Experience (Years)': 3, 'Degree': ""Master's"", 'Salary': 400000}"
"{'Location': 'Bangalore', 'Job Role': 'Data Analyst', 'Experience (Years)': 0, 'Degree': ""Bachelor's"", 'Salary': 0}"
"{'Location': 'Bangalore', 'Job Role': 'Data Analyst', 'Experience (Years)': 1, 'Degree': ""Master's"", 'Salary': 300000}"
"{'Location': 'Bangalore', 'Job Role': 'Data Analyst', 'Experience (Years)': 2, 'Degree': 'PhD', 'Salary': 500000}"
